dataset,sample_id,source_kind,drag_model,De_bar,Wi_e_bar,Debar,Wiebar,phibar,hK_star
clasen,C3,model,c2d2,0.5148242270497657,1.2708401493001031,,,,
clasen,C3,model,c2d2,1.7160807568325522,1.9282368113216706,,,,
clasen,C3,model,c2d2,5.148242270497657,4.039273634352698,,,,
clasen,C3,model,c2d2,0.0016070123269947725,1.7002465499999992,,,,
clasen,C3,model,c2d2,0.004821036980984317,1.6992370499999994,,,,
clasen,C3,model,c2d2,0.016070123269947726,1.7021309999999994,,,,
clasen,C3,model,c2d2,0.048210369809843175,1.701118649999999,,,,
clasen,C3,model,c2d2,0.16070123269947725,1.7040206999999992,,,,
clasen,C3,model,c2d2,0.4821036980984318,1.780174499999999,,,,
clasen,C3,model,c2d2,1.6070123269947725,2.6260772999999986,,,,
clasen,C3,model,c2d2,4.821036980984318,5.539117949999997,,,,
clasen,C4,model,c2d2,0.0005775705467498538,0.9564910039113582,,,,
clasen,C4,model,c2d2,0.0017327116402495615,0.9564885181666978,,,,
clasen,C4,model,c2d2,0.005775705467498539,0.95649670650205,,,,
clasen,C4,model,c2d2,0.017327116402495613,0.9564934896560188,,,,
clasen,C4,model,c2d2,0.05775705467498538,0.9565036763351179,,,,
clasen,C4,model,c2d2,0.17327116402495615,0.9577706262705307,,,,
clasen,C4,model,c2d2,0.5775705467498539,1.0777526470256211,,,,
clasen,C4,model,c2d2,1.7327116402495615,1.689514391421793,,,,
clasen,C4,model,c2d2,5.775705467498539,3.9774280412663443,,,,
clasen,C4,model,c2d2,0.0005142439446383266,1.1968903049999995,,,,
clasen,C4,model,c2d2,0.0015427318339149797,1.1966616599999995,,,,
clasen,C4,model,c2d2,0.005142439446383266,1.1973176399999996,,,,
clasen,C4,model,c2d2,0.015427318339149796,1.1970880199999996,,,,
clasen,C4,model,c2d2,0.05142439446383266,1.1977467749999995,,,,
clasen,C4,model,c2d2,0.15427318339149795,1.2153740999999996,,,,
clasen,C4,model,c2d2,0.5142439446383266,1.4266159949999995,,,,
clasen,C4,model,c2d2,1.5427318339149796,2.323490249999999,,,,
clasen,C4,model,c2d2,5.142439446383266,5.526781199999998,,,,
clasen,C5,model,c2d2,0.00019742427147989987,0.9534143771902627,,,,
clasen,C5,model,c2d2,0.0005922728144396995,0.9534073843063705,,,,
clasen,C5,model,c2d2,0.001974242714798999,0.9534281951288337,,,,
clasen,C5,model,c2d2,0.005922728144396996,0.9534206987573012,,,,
clasen,C5,model,c2d2,0.019742427147989985,0.9534431878718984,,,,
clasen,C5,model,c2d2,0.05922728144396996,0.9534349642404413,,,,
clasen,C5,model,c2d2,0.19742427147989985,0.9642862417489546,,,,
clasen,C5,model,c2d2,0.5922728144396996,1.024836112908332,,,,
clasen,C5,model,c2d2,1.9742427147989987,1.654364499392306,,,,
clasen,C5,model,c2d2,0.00016070123269947727,1.0727372699999995,,,,
clasen,C5,model,c2d2,0.00048210369809843177,1.0727512499999994,,,,
clasen,C5,model,c2d2,0.0016070123269947727,1.0727132399999995,,,,
clasen,C5,model,c2d2,0.004821036980984318,1.0727258249999996,,,,
clasen,C5,model,c2d2,0.016070123269947726,1.0726924049999995,,,,
clasen,C5,model,c2d2,0.04821036980984318,1.0731903599999995,,,,
clasen,C5,model,c2d2,0.16070123269947728,1.1150635649999996,,,,
clasen,C5,model,c2d2,0.4821036980984318,1.3308208949999996,,,,
clasen,C5,model,c2d2,1.6070123269947727,2.263896299999999,,,,
clasen,C6,model,c2d2,7.08138433837003e-5,0.9541633711351795,,,,
clasen,C6,model,c2d2,0.00021244153015110087,0.9541553309317018,,,,
clasen,C6,model,c2d2,0.000708138433837003,0.9541801764785144,,,,
clasen,C6,model,c2d2,0.0021244153015110086,0.954170950015507,,,,
clasen,C6,model,c2d2,0.0070813843383700295,0.9541990907276792,,,,
clasen,C6,model,c2d2,0.02124415301511009,0.9541886780051424,,,,
clasen,C6,model,c2d2,0.0708138433837003,0.9542170823305435,,,,
clasen,C6,model,c2d2,0.21244153015110087,0.9775474462073064,,,,
clasen,C6,model,c2d2,0.7081384338370029,1.0236749503023184,,,,
clasen,C6,model,c2d2,5.041607300375768e-5,1.0389348449999996,,,,
clasen,C6,model,c2d2,0.00015124821901127305,1.0389326249999995,,,,
clasen,C6,model,c2d2,0.0005041607300375769,1.0389392099999994,,,,
clasen,C6,model,c2d2,0.0015124821901127304,1.0389368249999995,,,,
clasen,C6,model,c2d2,0.0050416073003757686,1.0389439199999995,,,,
clasen,C6,model,c2d2,0.015124821901127305,1.0389422399999997,,,,
clasen,C6,model,c2d2,0.05041607300375768,1.0391704649999995,,,,
clasen,C6,model,c2d2,0.15124821901127306,1.0784484449999996,,,,
clasen,C6,model,c2d2,0.5041607300375768,1.3478605649999993,,,,
clasen,C1,experiment,,3.167731257940582,2.6131919243639405,,,,
clasen,C2,experiment,,3.1858093140397994,2.9657617053164005,,,,
clasen,C3,experiment,,1.8938917351006523,3.689064192050432,,,,
clasen,C4,experiment,,0.6718634791464556,1.8715988444201939,,,,
clasen,C5,experiment,,0.27118239677393396,0.8102533940193132,,,,
clasen,C6,experiment,,0.16465116421550005,0.5217463923861956,,,,
