sweep_folder,De,Wi_e,feature_score,de_key,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,sample_id,De_bar,Wi_e_bar,source_kind,dataset,R_ve,De_ve
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.1,1.134754,0.7,0.1,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.0160701232699477,1.702131,model,clasen,0.0011137751,89.7847330219539
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.3,1.1340791,0.7,0.3,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.0482103698098432,1.70111865,model,clasen,0.0033459655,89.66021915049632
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,1.0,1.1360138,0.7,1.0,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.160701232699477,1.7040207,model,clasen,0.011108997,90.01712755886062
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,3.0,1.186783,0.7,3.0,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.482103698098432,1.7801745,model,clasen,0.030197383,99.34635726546237
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,10.0,1.7507182,0.7,10.0,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,1.60701232699477,2.6260773,model,clasen,0.049787068,200.85537071594578
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,30.0,3.6927453,0.7,30.0,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,4.82103698098432,5.53911795,model,clasen,0.05502322,545.2243616422303
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,0.01,0.19624317,0.7,0.01,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.000577570546749855,0.95649100391136,model,clasen,0.00016658581,60.02912252850348
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,0.03,0.19624266,0.7,0.03,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.00173271164024956,0.956488518166699,model,clasen,0.00050045143,59.94587726525229
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,0.1,0.19624434,0.7,0.1,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.00577570546749855,0.956496706502052,model,clasen,0.0016615573,60.18450281552132
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,0.3,0.19624368,0.7,0.3,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.0173271164024956,0.95649348965602,model,clasen,0.0049915939,60.10104307563963
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,1.0,0.19624577,0.7,1.0,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.0577570546749855,0.956503676335119,model,clasen,0.016572675,60.340289060154745
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,3.0,0.19650571,0.7,3.0,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.173271164024956,0.957770626270532,model,clasen,0.045049202,66.59385442610059
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,10.0,0.22112241,0.7,10.0,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,0.577570546749855,1.07775264702562,model,clasen,0.060810063,164.44646669746092
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,30.0,0.34663751,0.7,30.0,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,1.73271164024956,1.6895143914218,model,clasen,0.060810063,493.33940009238273
S32_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_c2d2,100.0,0.81604854,0.7,100.0,c2d2,fenepm,11200,0.04,0.05,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,C4,5.77570546749855,3.97742804126635,model,clasen,0.060810063,1644.4646669746091
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,0.01,0.79792687,0.7,0.01,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.000514243944638327,1.196890305,model,clasen,0.00013638893,73.31973350036546
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,0.03,0.79777444,0.7,0.03,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.00154273183391498,1.19666166,model,clasen,0.00040973498,73.2180591464268
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,0.1,0.79821176,0.7,0.1,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.00514243944638327,1.19731764,model,clasen,0.001360368,73.50952095315385
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,0.3,0.79805868,0.7,0.3,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.0154273183391498,1.19708802,model,clasen,0.0040867714,73.40758037016703
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,1.0,0.79849785,0.7,1.0,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.0514243944638327,1.197746775,model,clasen,0.013568559,73.69979376586711
